,epoch,accuracy,balanced_accuracy,loss
0,0,0.9581332802772522,0.5000666975975037,0.07830648124217987
1,1,0.9582605957984924,0.5000333786010742,2.0127761363983154
2,2,0.9583030343055725,0.5000222325325012,2.048807144165039
3,3,0.9583242535591125,0.5000166893005371,0.03211648762226105
4,4,0.9583369493484497,0.5000133514404297,0.08450450003147125
5,5,0.9583454728126526,0.5000110864639282,0.01778707653284073
6,6,0.9583514928817749,0.5000095367431641,0.03783971071243286
7,7,0.9583560824394226,0.5000083446502686,0.039263904094696045
8,8,0.9583595991134644,0.5000074505805969,0.018133945763111115
9,9,0.9583624601364136,0.5000066757202148,0.025127984583377838
10,10,0.958364725112915,0.5000060796737671,0.01560213416814804
11,11,0.9583666920661926,0.5000055432319641,0.04143933951854706
12,12,0.9583683013916016,0.5000051259994507,0.08399654924869537
13,13,0.9583697319030762,0.500004768371582,0.050232335925102234
14,14,0.9583709239959717,0.5000044107437134,0.05451942980289459
15,15,0.9583719968795776,0.5000041723251343,1.9534467458724976
