,epoch,accuracy,balanced_accuracy,loss
0,0,0.9583879113197327,0.5,0.13471055030822754
1,1,0.9583879113197327,0.5,0.7008622288703918
2,2,0.9583879113197327,0.5,0.13939353823661804
3,3,0.9583879113197327,0.5,0.04115346074104309
4,4,0.9583879113197327,0.5,0.4537701904773712
5,5,0.9583879113197327,0.5,0.41361135244369507
6,6,0.9583879113197327,0.5,0.25041869282722473
7,7,0.9583879113197327,0.5,0.10776390135288239
8,8,0.9583879113197327,0.5,0.3354399502277374
9,9,0.9583879113197327,0.5,0.23118360340595245
10,10,0.9583879113197327,0.5,0.2301504760980606
11,11,0.9583879113197327,0.5,0.2820492684841156
12,12,0.9583879113197327,0.5,0.3087911605834961
13,13,0.9583879113197327,0.5,0.6625242829322815
