,epoch,accuracy,balanced_accuracy,loss
0,0,0.9491851925849915,0.49979719519615173,0.06571139395236969
1,1,0.9537865519523621,0.4999000132083893,0.7869824171066284
2,2,0.9553203582763672,0.4999332129955292,0.23119862377643585
3,3,0.9560872316360474,0.49994978308677673,0.05070091784000397
4,4,0.9565473794937134,0.4999599754810333,0.474528968334198
5,5,0.9568541049957275,0.49996668100357056,0.5711527466773987
6,6,0.9570732116699219,0.4999713897705078,0.24231259524822235
7,7,0.9572375416755676,0.49997493624687195,0.11639486253261566
8,8,0.9573653936386108,0.499977707862854,0.4020552337169647
9,9,0.9574676156044006,0.49997997283935547,0.15545882284641266
10,10,0.9575513005256653,0.4999817907810211,0.23979145288467407
11,11,0.9576209783554077,0.4999833106994629,0.29826977849006653
12,12,0.9576799869537354,0.4999845623970032,0.2676165699958801
13,13,0.9577305316925049,0.4999856948852539,0.6645641326904297
