,epoch,accuracy,balanced_accuracy,loss
0,0,0.9498035907745361,0.5000036358833313,-0.11922097206115723
1,1,0.954095721244812,0.5000032186508179,0.6040238738059998
2,2,0.9555264711380005,0.5000020265579224,0.10681042075157166
3,3,0.95624178647995,0.5000013709068298,-0.11330746114253998
4,4,0.9566710591316223,0.5000012516975403,0.2733253836631775
5,5,0.9569571614265442,0.500001072883606,0.41082629561424255
6,6,0.957161545753479,0.5000008940696716,0.05614545941352844
7,7,0.9573148488998413,0.5000007748603821,-0.07246038317680359
8,8,0.9574340581893921,0.5000006556510925,0.14487577974796295
9,9,0.9575294852256775,0.5000005960464478,0.007284879684448242
10,10,0.9576075077056885,0.500000536441803,-0.0006787776947021484
11,11,0.9576725363731384,0.5000004768371582,0.10671408474445343
12,12,0.9577275514602661,0.5000004172325134,0.09339159727096558
13,13,0.9577747583389282,0.5000004172325134,0.4535979628562927
