,epoch,accuracy,balanced_accuracy,loss
0,0,0.9583151340484619,0.500004768371582,0.11217761784791946
1,1,0.9583514928817749,0.500002384185791,1.6508010625839233
2,2,0.9583636522293091,0.5000016093254089,2.3376412391662598
3,3,0.9583697319030762,0.5000011920928955,0.08216951042413712
4,4,0.9583733677864075,0.5000009536743164,0.17091913521289825
5,5,0.9583757519721985,0.5000008344650269,0.061713069677352905
6,6,0.958377480506897,0.5000007152557373,0.0618714764714241
7,7,0.958378791809082,0.5000005960464478,0.047115907073020935
8,8,0.9583798050880432,0.500000536441803,0.036064889281988144
9,9,0.9583806395530701,0.5000004768371582,0.05376768112182617
10,10,0.9583812952041626,0.5000004768371582,0.04365008324384689
11,11,0.9583818316459656,0.5000004172325134,0.15998931229114532
12,12,0.9583823084831238,0.5000003576278687,0.08271567523479462
13,13,0.9583827257156372,0.5000003576278687,0.09562650322914124
14,14,0.9583830237388611,0.5000002980232239,0.0891798585653305
15,15,0.958383321762085,0.5000002980232239,1.8677828311920166
