,epoch,accuracy,balanced_accuracy,loss
0,0,0.9551869630813599,0.499970406293869,0.07236960530281067
1,1,0.9567874073982239,0.4999856948852539,0.5376978516578674
2,2,0.9573209285736084,0.49999043345451355,0.21685536205768585
3,3,0.9575876593589783,0.4999927580356598,0.07650579512119293
4,4,0.9577476978302002,0.49999427795410156,0.5071800947189331
5,5,0.9578543901443481,0.49999523162841797,0.5208934545516968
6,6,0.9579306244850159,0.4999959170818329,0.24394793808460236
7,7,0.9579877853393555,0.4999963939189911,0.13655833899974823
8,8,0.9580322504043579,0.4999968111515045,0.27517426013946533
9,9,0.958067774772644,0.499997079372406,0.24021153151988983
10,10,0.9580969214439392,0.4999973773956299,0.18757480382919312
11,11,0.958121120929718,0.4999975562095642,0.31536203622817993
12,12,0.9581416845321655,0.4999977648258209,0.2407820224761963
13,13,0.9581592679023743,0.49999791383743286,0.5508233308792114
