,epoch,accuracy,balanced_accuracy,loss
0,0,0.9571148157119751,0.5000931620597839,0.15094664692878723
1,1,0.9577513337135315,0.5000468492507935,0.7369667887687683
2,2,0.9579635262489319,0.5000312328338623,0.17597214877605438
3,3,0.9580696225166321,0.500023365020752,0.033162206411361694
4,4,0.9581332802772522,0.5000187158584595,0.4796494245529175
5,5,0.9581757187843323,0.5000156164169312,0.4666958749294281
6,6,0.9582059979438782,0.5000134110450745,0.23443293571472168
7,7,0.9582287669181824,0.500011682510376,0.1137157455086708
8,8,0.9582464098930359,0.5000104308128357,0.29215478897094727
9,9,0.9582605957984924,0.5000093579292297,0.19525979459285736
10,10,0.9582721590995789,0.5000084638595581,0.1937747448682785
11,11,0.9582818150520325,0.5000078082084656,0.2468564212322235
12,12,0.9582899808883667,0.500007152557373,0.261394202709198
13,13,0.9582969546318054,0.5000066757202148,0.6642354726791382
