,epoch,accuracy,balanced_accuracy,loss
0,0,0.957660436630249,0.5001382827758789,0.14342404901981354
1,1,0.9580241441726685,0.500069260597229,1.429187536239624
2,2,0.9581453800201416,0.5000461935997009,1.5413455963134766
3,3,0.9582059979438782,0.5000346302986145,0.00886409729719162
4,4,0.9582424163818359,0.5000276565551758,0.07911604642868042
5,5,0.9582666754722595,0.5000230669975281,0.0681103765964508
6,6,0.9582839608192444,0.5000197291374207,0.15353459119796753
7,7,0.9582969546318054,0.5000172853469849,0.17107337713241577
8,8,0.9583070874214172,0.500015377998352,0.01259717345237732
9,9,0.9583151340484619,0.5000138282775879,0.1090259924530983
10,10,0.958321750164032,0.5000125765800476,-0.008505204692482948
11,11,0.9583272933959961,0.5000115036964417,0.007457178086042404
12,12,0.9583319425582886,0.5000106692314148,0.004062604159116745
13,13,0.9583359360694885,0.5000098943710327,0.14120621979236603
14,14,0.9583393931388855,0.5000092387199402,-0.01013040542602539
15,15,0.958342432975769,0.5000086426734924,1.8030645847320557
