,epoch,accuracy,balanced_accuracy,loss
0,0,0.9559507966041565,0.5001839399337769,0.030935674905776978
1,1,0.9571693539619446,0.5000924468040466,0.5820527672767639
2,2,0.9575755596160889,0.5000616312026978,0.027926743030548096
3,3,0.9577786326408386,0.5000461339950562,-0.11264203488826752
4,4,0.9579004645347595,0.5000369548797607,0.3080219626426697
5,5,0.9579817056655884,0.5000308156013489,0.2585006356239319
6,6,0.9580397605895996,0.5000264048576355,0.0537564754486084
7,7,0.9580832719802856,0.5000230669975281,-0.03403981029987335
8,8,0.9581171274185181,0.5000205636024475,0.16684070229530334
9,9,0.9581441879272461,0.5000184774398804,0.05814853310585022
10,10,0.9581663608551025,0.5000168085098267,0.06599496304988861
11,11,0.9581847786903381,0.5000154376029968,0.1073247492313385
12,12,0.9582004547119141,0.5000142455101013,0.10520237684249878
13,13,0.9582138061523438,0.5000132322311401,0.5197898149490356
