,epoch,accuracy,balanced_accuracy,loss
0,0,0.9583879113197327,0.5,0.02608601748943329
1,1,0.9583697319030762,0.4999905228614807,1.5074697732925415
2,2,0.9583757519721985,0.4999936819076538,2.3085484504699707
3,3,0.958378791809082,0.49999526143074036,0.054133012890815735
4,4,0.9583806395530701,0.49999621510505676,0.14276182651519775
5,5,0.9583818316459656,0.4999968409538269,0.03348686546087265
6,6,0.9583827257156372,0.4999972879886627,0.022757716476917267
7,7,0.958383321762085,0.499997615814209,0.0024320855736732483
8,8,0.9583838582038879,0.4999978840351105,-0.007527045905590057
9,9,0.9583842754364014,0.4999980926513672,0.01557750254869461
10,10,0.9583845734596252,0.4999982714653015,0.006320394575595856
11,11,0.9583848714828491,0.49999842047691345,0.1442013680934906
12,12,0.9583851099014282,0.499998539686203,0.03694135695695877
13,13,0.9583852887153625,0.49999865889549255,0.0628955289721489
14,14,0.9583854675292969,0.4999987483024597,0.05453374981880188
15,15,0.9583856463432312,0.4999988079071045,1.8374652862548828
