,epoch,accuracy,balanced_accuracy,loss
0,0,0.9475483894348145,0.49977925419807434,0.06554094702005386
1,1,0.9529681205749512,0.4998907744884491,1.644385576248169
2,2,0.9547747373580933,0.4999274015426636,1.8065106868743896
3,3,0.9556779861450195,0.49994540214538574,0.15238261222839355
4,4,0.9562199711799622,0.4999562203884125,0.10862582921981812
5,5,0.9565812945365906,0.4999634623527527,0.056210294365882874
6,6,0.956839382648468,0.49996864795684814,0.06891682744026184
7,7,0.9570329785346985,0.49997255206108093,0.22610363364219666
8,8,0.9571834802627563,0.4999755918979645,-0.0075116269290447235
9,9,0.9573039412498474,0.4999780058860779,0.16637498140335083
10,10,0.9574024677276611,0.49998000264167786,0.02666853368282318
11,11,0.9574846029281616,0.49998167157173157,0.028867289423942566
12,12,0.9575541019439697,0.4999830722808838,0.02084185928106308
13,13,0.9576136469841003,0.4999842643737793,0.11589837819337845
14,14,0.9576652646064758,0.49998530745506287,-0.024390878155827522
15,15,0.9577104449272156,0.4999862611293793,1.7601163387298584
