,epoch,accuracy,balanced_accuracy,loss
0,0,0.9580241441726685,0.500028669834137,0.11592087149620056
1,1,0.9582059979438782,0.5000144243240356,0.7111007571220398
2,2,0.9582666754722595,0.5000095963478088,0.14101526141166687
3,3,0.9582969546318054,0.5000072121620178,0.017970658838748932
4,4,0.9583151340484619,0.5000057816505432,0.46723344922065735
5,5,0.9583272933959961,0.500004768371582,0.4246079623699188
6,6,0.9583359360694885,0.5000041127204895,0.23180143535137177
7,7,0.958342432975769,0.5000035762786865,0.09845136851072311
8,8,0.958347499370575,0.5000032186508179,0.25070473551750183
9,9,0.9583514928817749,0.5000028610229492,0.1963866949081421
10,10,0.9583548307418823,0.5000026226043701,0.16645735502243042
11,11,0.958357572555542,0.500002384185791,0.2382039874792099
12,12,0.9583598971366882,0.5000022053718567,0.2359924167394638
13,13,0.9583619236946106,0.5000020265579224,0.5425536036491394
