,epoch,accuracy,balanced_accuracy,loss
0,0,0.9581332802772522,0.5000167489051819,0.0397614985704422
1,1,0.9582605957984924,0.5000084042549133,0.6026833057403564
2,2,0.9583030343055725,0.5000056028366089,0.2510555684566498
3,3,0.9583242535591125,0.5000041723251343,-0.020572718232870102
4,4,0.9583369493484497,0.5000033378601074,0.5545669794082642
5,5,0.9583454728126526,0.5000028014183044,0.42258769273757935
6,6,0.9583514928817749,0.500002384185791,0.21737265586853027
7,7,0.9583560824394226,0.5000020861625671,0.08918307721614838
8,8,0.9583595991134644,0.500001847743988,0.3110261559486389
9,9,0.9583624601364136,0.5000016689300537,0.225996196269989
10,10,0.958364725112915,0.5000014901161194,0.20346438884735107
11,11,0.9583666920661926,0.5000013709068298,0.3014667332172394
12,12,0.9583683013916016,0.5000012516975403,0.2678610384464264
13,13,0.9583697319030762,0.5000011920928955,0.6927419304847717
