,epoch,accuracy,balanced_accuracy,loss
0,0,0.9582787752151489,0.500007152557373,-0.019557416439056396
1,1,0.9583333134651184,0.5000035762786865,0.5690370202064514
2,2,0.9583514928817749,0.500002384185791,0.018747478723526
3,3,0.9583606123924255,0.5000017881393433,-0.14721935987472534
4,4,0.9583660960197449,0.5000014305114746,0.2675940692424774
5,5,0.9583697319030762,0.5000011920928955,0.29665011167526245
6,6,0.9583722949028015,0.5000010132789612,0.07511359453201294
7,7,0.9583742618560791,0.5000008940696716,-0.040624022483825684
8,8,0.9583757519721985,0.5000008344650269,0.08729314804077148
9,9,0.9583770036697388,0.5000007152557373,0.03435228765010834
10,10,0.9583779573440552,0.5000005960464478,0.034671783447265625
11,11,0.958378791809082,0.500000536441803,0.062239110469818115
12,12,0.9583795070648193,0.500000536441803,0.09371833503246307
13,13,0.9583801031112671,0.5000004768371582,0.4913797676563263
