,epoch,accuracy,balanced_accuracy,loss
0,0,0.9578422904014587,0.5001809597015381,0.07505443692207336
1,1,0.9581151008605957,0.5000905394554138,2.051694393157959
2,2,0.9582059979438782,0.5000604391098022,2.116042375564575
3,3,0.9582514762878418,0.5000452995300293,0.06149870529770851
4,4,0.9582787752151489,0.5000362396240234,0.1202644631266594
5,5,0.9582969546318054,0.5000301599502563,0.04655497521162033
6,6,0.9583099484443665,0.5000258684158325,0.07244105637073517
7,7,0.9583196640014648,0.5000226497650146,0.0709768608212471
8,8,0.9583272933959961,0.5000201463699341,0.05457698553800583
9,9,0.9583333134651184,0.5000181198120117,0.05967569351196289
10,10,0.9583383202552795,0.500016450881958,0.050370000302791595
11,11,0.958342432975769,0.5000150799751282,0.06723056733608246
12,12,0.9583459496498108,0.5000138878822327,0.11705529689788818
13,13,0.9583489298820496,0.5000129342079163,0.08559751510620117
14,14,0.9583514928817749,0.5000120997428894,0.08973436802625656
15,15,0.9583538174629211,0.5000113248825073,1.9886975288391113
