,epoch,accuracy,balanced_accuracy,loss
0,0,0.947330117225647,0.5001020431518555,0.03533271700143814
1,1,0.9528589844703674,0.5000528693199158,0.6586490273475647
2,2,0.9547019600868225,0.5000351071357727,0.1931484341621399
3,3,0.95562344789505,0.5000261068344116,0.0105271115899086
4,4,0.9561763405799866,0.5000211000442505,0.4858179986476898
5,5,0.9565449357032776,0.5000176429748535,0.5302149057388306
6,6,0.9568082094192505,0.5000150799751282,0.2152867615222931
7,7,0.9570056796073914,0.5000131130218506,0.0923190638422966
8,8,0.9571592807769775,0.500011682510376,0.2831869125366211
9,9,0.9572821259498596,0.5000104904174805,0.14369860291481018
10,10,0.9573826193809509,0.5000095963478088,0.18244266510009766
11,11,0.9574664235115051,0.500008761882782,0.17220130562782288
12,12,0.9575372934341431,0.5000081062316895,0.21908807754516602
13,13,0.9575980305671692,0.5000075101852417,0.6767206788063049
