,epoch,accuracy,balanced_accuracy,loss
0,0,0.9579150080680847,0.5000001788139343,-0.10968615859746933
1,1,0.9581514596939087,0.5000001788139343,0.5076453685760498
2,2,0.9582302570343018,0.5000001192092896,0.07959109544754028
3,3,0.9582696557044983,0.5000000596046448,-0.08486209064722061
4,4,0.9582933187484741,0.5000000596046448,0.33167457580566406
5,5,0.9583090543746948,0.5000000596046448,0.3606676459312439
6,6,0.9583203196525574,0.5000000596046448,0.044545724987983704
7,7,0.9583287835121155,0.5000000596046448,-0.056763872504234314
8,8,0.9583353400230408,0.5,0.08806842565536499
9,9,0.958340585231781,0.5000000596046448,0.07731030881404877
10,10,0.9583449363708496,0.5,0.047467172145843506
11,11,0.9583485126495361,0.5000000596046448,0.15500029921531677
12,12,0.9583514928817749,0.5,0.08818784356117249
13,13,0.958354115486145,0.5000000596046448,0.47007298469543457
