,epoch,accuracy,balanced_accuracy,loss
0,0,0.9563873410224915,0.5001457333564758,-0.06690546870231628
1,1,0.9573876261711121,0.500073254108429,0.43059369921684265
2,2,0.9577210545539856,0.500048816204071,0.07206979393959045
3,3,0.9578877687454224,0.5000365376472473,-0.15885132551193237
4,4,0.9579877853393555,0.5000292658805847,0.45964622497558594
5,5,0.9580544829368591,0.5000243782997131,0.28605496883392334
6,6,0.9581021070480347,0.5000209212303162,0.052395299077034
7,7,0.9581378102302551,0.500018298625946,-0.06293845176696777
8,8,0.9581655859947205,0.5000162720680237,0.15689672529697418
9,9,0.9581878185272217,0.5000146627426147,0.08450557291507721
10,10,0.9582059979438782,0.5000132918357849,0.0832897275686264
11,11,0.9582211971282959,0.500012218952179,0.19684067368507385
12,12,0.9582340121269226,0.5000112652778625,0.09526307880878448
13,13,0.9582449793815613,0.5000104904174805,0.49346616864204407
