,epoch,accuracy,balanced_accuracy,loss
0,0,0.955659806728363,0.5001745223999023,0.1401665061712265
1,1,0.9570238590240479,0.5000877380371094,0.5760620832443237
2,2,0.9574785232543945,0.5000584125518799,0.16590526700019836
3,3,0.9577058553695679,0.5000438094139099,0.0006213188171386719
4,4,0.9578422904014587,0.5000350475311279,0.40397846698760986
5,5,0.9579331874847412,0.5000292658805847,0.48755618929862976
6,6,0.9579981565475464,0.5000250339508057,0.14645400643348694
7,7,0.9580469131469727,0.5000219345092773,0.08945778012275696
8,8,0.958084762096405,0.5000194907188416,0.3283928334712982
9,9,0.9581151008605957,0.5000175833702087,0.1506340503692627
10,10,0.9581398963928223,0.5000159740447998,0.17829513549804688
11,11,0.9581605792045593,0.50001460313797,0.26442933082580566
12,12,0.9581780433654785,0.500013530254364,0.25038179755210876
13,13,0.9581956267356873,0.500012218952179,0.6669695377349854
