,epoch,accuracy,balanced_accuracy,loss
0,0,0.9578786492347717,0.5001523494720459,0.14904850721359253
1,1,0.9581332802772522,0.5000762939453125,1.651291847229004
2,2,0.9582181572914124,0.5000508427619934,1.7266002893447876
3,3,0.9582605957984924,0.5000381469726562,-0.00934598222374916
4,4,0.9582860469818115,0.500030517578125,0.1516958326101303
5,5,0.9583030343055725,0.5000253915786743,0.07026413083076477
6,6,0.9583151340484619,0.500021755695343,0.04107395187020302
7,7,0.9583242535591125,0.5000190734863281,0.14733996987342834
8,8,0.958331286907196,0.5000169277191162,0.047797925770282745
9,9,0.9583369493484497,0.5000152587890625,0.035016246140003204
10,10,0.9583415985107422,0.5000138878822327,-0.0024455785751342773
11,11,0.9583454728126526,0.5000126957893372,-0.009310061112046242
12,12,0.9583487510681152,0.5000117421150208,0.08842834830284119
13,13,0.9583514928817749,0.5000109076499939,0.1474606990814209
14,14,0.9583539366722107,0.5000101327896118,0.013771247118711472
15,15,0.9583560824394226,0.5000095367431641,0.9884896874427795
