,epoch,accuracy,balanced_accuracy,loss
0,0,0.9580969214439392,0.5000952482223511,-0.08919811248779297
1,1,0.9582424163818359,0.5000476837158203,1.3419339656829834
2,2,0.9582908749580383,0.5000317692756653,1.1736422777175903
3,3,0.9583151340484619,0.5000238418579102,-0.06877565383911133
4,4,0.9583296775817871,0.5000190734863281,-0.021139517426490784
5,5,0.9583393931388855,0.500015914440155,-0.0580425038933754
6,6,0.9583463072776794,0.5000135898590088,-0.12486124038696289
7,7,0.9583514928817749,0.5000119209289551,-0.05005404353141785
8,8,0.9583555459976196,0.50001060962677,-0.2033068686723709
9,9,0.9583588242530823,0.5000095367431641,-0.07038538157939911
10,10,0.9583614468574524,0.5000086426734924,-0.17763668298721313
11,11,0.9583636522293091,0.5000079274177551,-0.05051864683628082
12,12,0.9583654999732971,0.5000073313713074,-0.18477803468704224
13,13,0.958367109298706,0.5000067949295044,-0.10937955975532532
14,14,0.9583684802055359,0.500006377696991,-0.22493939101696014
15,15,0.9583697319030762,0.5000059604644775,1.6891905069351196
