,epoch,accuracy,balanced_accuracy,loss
0,0,0.9391459226608276,0.5003002882003784,0.033352456986904144
1,1,0.9487668871879578,0.5001533627510071,0.6411564946174622
2,2,0.9519739151000977,0.5001019835472107,0.15343976020812988
3,3,0.9535773992538452,0.500076174736023,0.041663408279418945
4,4,0.9545394778251648,0.5000612735748291,0.4252462089061737
5,5,0.9551808834075928,0.5000511407852173,0.46546119451522827
6,6,0.9556390643119812,0.5000437498092651,0.21486690640449524
7,7,0.9559826254844666,0.500038206577301,0.07832793146371841
8,8,0.9562498927116394,0.500033974647522,0.36292797327041626
9,9,0.9564636945724487,0.500030517578125,0.1514420211315155
10,10,0.9566386342048645,0.5000277161598206,0.1926671266555786
11,11,0.9567844271659851,0.5000253915786743,0.29092761874198914
12,12,0.9569077491760254,0.5000234246253967,0.2063867598772049
13,13,0.9570134878158569,0.5000218152999878,0.5918005108833313
