,epoch,accuracy,balanced_accuracy,loss
0,0,0.9565691947937012,0.5001338124275208,0.09170322120189667
1,1,0.9574785232543945,0.5000672340393066,0.6381755471229553
2,2,0.9577816724777222,0.5000448226928711,0.1917661875486374
3,3,0.9579331874847412,0.5000335574150085,0.05698103830218315
4,4,0.9580241441726685,0.5000268816947937,0.6158300042152405
5,5,0.958084762096405,0.5000224113464355,0.46593013405799866
6,6,0.9581280946731567,0.5000191926956177,0.24900074303150177
7,7,0.9581605792045593,0.5000168085098267,0.07986138761043549
8,8,0.9581857919692993,0.5000149607658386,0.210594043135643
9,9,0.9582059979438782,0.5000134110450745,0.2327074408531189
10,10,0.9582225680351257,0.500012218952179,0.2412840723991394
11,11,0.9582363367080688,0.5000112056732178,0.2538733184337616
12,12,0.9582480192184448,0.5000103116035461,0.2612250745296478
13,13,0.9582579731941223,0.5000095963478088,0.7577661871910095
