,epoch,accuracy,balanced_accuracy,loss
0,0,0.9574785232543945,0.500200092792511,0.12975455820560455
1,1,0.9579331874847412,0.5001001954078674,1.4270808696746826
2,2,0.958084762096405,0.5000668168067932,1.5768547058105469
3,3,0.9581605792045593,0.5000500679016113,0.0448685958981514
4,4,0.9582059979438782,0.5000400543212891,0.12729758024215698
5,5,0.9582363367080688,0.5000333786010742,0.06538655608892441
6,6,0.9582579731941223,0.5000286102294922,0.10539215058088303
7,7,0.958274245262146,0.5000250339508057,0.19918453693389893
8,8,0.9582868814468384,0.5000222325325012,0.016149096190929413
9,9,0.9582969546318054,0.5000200271606445,0.08909712731838226
10,10,0.9583052396774292,0.5000181794166565,0.003931555896997452
11,11,0.9583090543746948,0.5000162720680237,0.05647582188248634
12,12,0.9583151340484619,0.5000150203704834,0.008927430957555771
13,13,0.9583203196525574,0.5000139474868774,0.0959588885307312
14,14,0.9583248496055603,0.5000130534172058,-0.029168805107474327
15,15,0.9583287835121155,0.500012218952179,1.4467188119888306
